תאריך,מחיר קניה,מחיר פדיון,שיעור הוספה (%),דמי ניהול (%),שווי נכסים במיל' ₪,דמי נאמנות
01/08/2023 00:00:00,515.10,515.10,0.000,2.460,211.3,0.050
31/07/2023 00:00:00,514.42,514.42,0.000,2.460,211.3,0.050
30/07/2023 00:00:00,512.44,512.44,0.000,2.460,211.3,0.050
26/07/2023 00:00:00,506.69,506.69,0.000,2.460,211.3,0.050
25/07/2023 00:00:00,504.15,504.15,0.000,2.460,211.3,0.050
24/07/2023 00:00:00,516.91,516.91,0.000,2.460,211.3,0.050
23/07/2023 00:00:00,527.78,527.78,0.000,2.460,211.3,0.050
20/07/2023 00:00:00,527.11,527.11,0.000,2.460,211.3,0.050
19/07/2023 00:00:00,527.29,527.29,0.000,2.460,211.3,0.050
18/07/2023 00:00:00,523.28,523.28,0.000,2.460,211.3,0.050
17/07/2023 00:00:00,517.98,517.98,0.000,2.460,211.3,0.050
16/07/2023 00:00:00,514.56,514.56,0.000,2.460,211.3,0.050
13/07/2023 00:00:00,510.93,510.93,0.000,2.460,211.3,0.050
12/07/2023 00:00:00,508.33,508.33,0.000,2.460,211.3,0.050
11/07/2023 00:00:00,503.62,503.62,0.000,2.460,211.3,0.050
10/07/2023 00:00:00,502.67,502.67,0.000,2.460,211.3,0.050
09/07/2023 00:00:00,502.97,502.97,0.000,2.460,211.3,0.050
06/07/2023 00:00:00,503.90,503.90,0.000,2.460,208.0,0.050
05/07/2023 00:00:00,506.39,506.39,0.000,2.460,208.0,0.050
04/07/2023 00:00:00,505.45,505.45,0.000,2.460,208.0,0.050
03/07/2023 00:00:00,502.39,502.39,0.000,2.460,208.0,0.050
02/07/2023 00:00:00,502.80,502.80,0.000,2.460,208.0,0.050
29/06/2023 00:00:00,499.97,499.97,0.000,2.460,208.0,0.050
28/06/2023 00:00:00,500.15,500.15,0.000,2.460,208.0,0.050
27/06/2023 00:00:00,500.39,500.39,0.000,2.460,208.0,0.050
26/06/2023 00:00:00,502.29,502.29,0.000,2.460,208.0,0.050
25/06/2023 00:00:00,503.36,503.36,0.000,2.460,208.0,0.050
22/06/2023 00:00:00,506.82,506.82,0.000,2.460,208.0,0.050
21/06/2023 00:00:00,508.25,508.25,0.000,2.460,208.0,0.050
20/06/2023 00:00:00,510.44,510.44,0.000,2.460,208.0,0.050
19/06/2023 00:00:00,509.60,509.60,0.000,2.460,208.0,0.050
18/06/2023 00:00:00,507.45,507.45,0.000,2.460,208.0,0.050
15/06/2023 00:00:00,505.99,505.99,0.000,2.460,208.0,0.050
14/06/2023 00:00:00,501.41,501.41,0.000,2.460,208.0,0.050
13/06/2023 00:00:00,502.07,502.07,0.000,2.460,208.0,0.050
12/06/2023 00:00:00,499.28,499.28,0.000,2.460,208.0,0.050
11/06/2023 00:00:00,496.02,496.02,0.000,2.460,208.0,0.050
08/06/2023 00:00:00,493.95,493.95,0.000,2.460,203.8,0.050
07/06/2023 00:00:00,494.29,494.29,0.000,2.460,203.8,0.050
06/06/2023 00:00:00,490.01,490.01,0.000,2.460,203.8,0.050
05/06/2023 00:00:00,491.12,491.12,0.000,2.460,203.8,0.050
04/06/2023 00:00:00,491.66,491.66,0.000,2.460,203.8,0.050
01/06/2023 00:00:00,487.16,487.16,0.000,2.460,203.8,0.050
31/05/2023 00:00:00,489.32,489.32,0.000,2.460,203.8,0.050
30/05/2023 00:00:00,489.35,489.35,0.000,2.460,203.8,0.050
29/05/2023 00:00:00,489.18,489.18,0.000,2.460,203.8,0.050
